Facultad;jornada;modalidad;programa;estrato;Genero;Departamento;origenacademico
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACIï¿½ï¿½N EN SALUD OCUPACIONAL Y PREVENCIï¿½ï¿½N DE RIESGOS L;;F;15-BOYACA;2-SIN DATOS
SECCIONAL DUITAMA;Diurna;Presencial;DISEï¿½ï¿½O INDUST;3;F;15-BOYACA;85001-YOPAL
CIENCIAS DE LA EDUCACION;Otra;Otra;ESPECIALIZACION EN GERENCIA EDUCACIONAL;;F;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN REGENCIA DE FARMACIA;3;M;15-BOYACA;2-SIN DATOS
SECCIONAL DUITAMA;Diurna;Presencial;INGENIERIA ELECTROMECANICA;1;M;15-BOYACA;15238-DUITAMA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION EN ALTA GERENCIA EN MERCADOTECNIA;;F;15-BOYACA;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;ADMINISTRACION DE EMPRESAS;2;M;15-BOYACA;15001-TUNJA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;ECONOMIA;2;F;15-BOYACA;15176-CHIQUINQUIRA
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA DE MINAS;1;M;15-BOYACA;15759-SOGAMOSO
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;F;25-CUNDINAMARCA;25873-VILLAPINZON
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;15-BOYACA;15759-SOGAMOSO
CIENCIAS;Diurna;Presencial;BIOLOGIA;2;F;15-BOYACA;15516-PAIPA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN MATEMATICAS;3;F;25-CUNDINAMARCA;25873-VILLAPINZON
CIENCIAS AGROPECUARIAS;Diurna;Presencial;INGENIERIA AGRONOMICA;2;M;15-BOYACA;15542-PESCA
ESTUDIOS A DISTANCIA;Otra;Otra;ESPECIALIZACION EN DIDACTICA DE LA MATEMATICA PARA LA EDUCACION BASICA;;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;F;68-SANTANDER;68572-PUENTE NACIONAL
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN REGENCIA DE FARMACIA;1;F;15-BOYACA;15183-CHITA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN TELEMATICA;1;F;15-BOYACA;15476-MOTAVITA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;2;F;5-ANTIOQUIA;5034-ANDES
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;CONTADURIA PUBLICA;1;M;25-CUNDINAMARCA;15542-PESCA
INGENIERIA;Diurna;Presencial;INGENIERIA AMBIENTAL;1;F;15-BOYACA;15469-MONIQUIRA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN LENGUAS EXTRANJERAS;1;F;68-SANTANDER;68167-CHARALA
INGENIERIA;Diurna;Otra;MAESTRIA EN INGENIERIA AMBIENTAL;;M;15-BOYACA;2-SIN DATOS
CIENCIAS AGROPECUARIAS;Diurna;Presencial;INGENIERIA AGRONOMICA;2;M;15-BOYACA;15299-GARAGOA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION EN FINANZAS;;F;15-BOYACA;2-SIN DATOS
SECCIONAL DUITAMA;Diurna;Presencial;DISEï¿½ï¿½O INDUST;3;F;25-CUNDINAMARCA;15238-DUITAMA
SECCIONAL CHIQUINQUIRA;Nocturna;Presencial;CONTADURIA PUBLICA;2;M;15-BOYACA;15176-CHIQUINQUIRA
SECCIONAL DUITAMA;Diurna;Presencial;ADMINISTRACION TURISTICA Y HOTELERA;2;F;15-BOYACA;15759-SOGAMOSO
ESTUDIOS A DISTANCIA;Diurna;Distancia;TECNOLOGIA DE  PROGRAMACION DE SISTEMAS INFORMATICOS;2;M;15-BOYACA;15001-TUNJA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;ADMINISTRACION DE EMPRESAS;2;F;15-BOYACA;15001-TUNJA
CIENCIAS DE LA SALUD;Diurna;Presencial;PSICOLOGIA;2;F;15-BOYACA;15753-SOATA
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION DE SERVICIOS DE SALUD;3;F;5-ANTIOQUIA;5652-SAN FRANCISCO
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;2;F;15-BOYACA;15632-SABOYA
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;F;15-BOYACA;15238-DUITAMA
INGENIERIA;Diurna;Presencial;INGENIERIA DE TRANSPORTE Y VIAS;2;M;15-BOYACA;15001-TUNJA
SECCIONAL CHIQUINQUIRA;Nocturna;Presencial;CONTADURIA PUBLICA;2;F;15-BOYACA;15507-OTANCHE
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN REGENCIA DE FARMACIA;2;F;15-BOYACA;15646-SAMACA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN TELEMATICA;1;M;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Otra;ESPECIALIZACION EN DIDACTICA DE LA MATEMATICA PARA LA EDUCACION BASICA;;F;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;1;M;15-BOYACA;15469-MONIQUIRA
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;1;F;15-BOYACA;15537-PAZ DE RIO
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION EN GERENCIA TRIBUTARIA;;M;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Otra;ESPECIALIZACION EN GERENCIA EDUCACIONAL;;M;15-BOYACA;2-SIN DATOS
DERECHO Y CIENCIAS  SOCIALES;Otra;Otra;MAESTRIA EN DERECHOS HUMANOS;;F;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN REGENCIA DE FARMACIA;1;F;15-BOYACA;15001-TUNJA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;ADMINISTRACION DE EMPRESAS;2;F;15-BOYACA;15001-TUNJA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;2;F;8-ATLANTICO;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN REGENCIA DE FARMACIA;1;F;25-CUNDINAMARCA;15189-CIENEGA
CIENCIAS DE LA EDUCACION;Otra;Otra;MAESTRï¿½ï¿½A EN PEDAGOGï¿½ï¿½A DE LA CULTURA;;F;25-CUNDINAMARCA;2-SIN DATOS
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACION EN GERENCIA TALENTO HUMANO;;F;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION COMERCIAL Y FINANCIERA;3;F;15-BOYACA;15238-DUITAMA
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACIï¿½ï¿½N EN SALUD OCUPACIONAL Y PREVENCIï¿½ï¿½N DE RIESGOS L;;M;15-BOYACA;2-SIN DATOS
CIENCIAS AGROPECUARIAS;Diurna;Presencial;MEDICINA VETERINARIA Y ZOOTECNIA;3;F;11-SANTA FE DE BOGOTA D.C;11001-BOGOTï¿½ï¿
CIENCIAS;Otra;Otra;MAESTRIA EN CIENCIAS BIOLOGICAS;;M;15-BOYACA;2-SIN DATOS
SECCIONAL DUITAMA;Diurna;Presencial;LICENCIATURA EN TECNOLOGIA;2;M;15-BOYACA;15238-DUITAMA
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD;1;F;15-BOYACA;15753-SOATA
CIENCIAS;Diurna;Presencial;BIOLOGIA;2;F;25-CUNDINAMARCA;25745-SIMIJACA
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;2;F;15-BOYACA;15176-CHIQUINQUIRA
SECCIONAL DUITAMA;Diurna;Presencial;INGENIERIA ELECTROMECANICA;1;M;52-NARIï¿½;52001-PASTO
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION  EN PLANEACION Y GESTION DEL DESARROLLO TERRITORIAL;;M;15-BOYACA;2-SIN DATOS
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA ELECTRONICA;3;F;15-BOYACA;15001-TUNJA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;1;F;15-BOYACA;15774-SUSACON
SECCIONAL CHIQUINQUIRA;Otra;Otra;MAESTRIA EN DERECHOS HUMANOS;;M;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;2;F;15-BOYACA;2-SIN DATOS
SECCIONAL SOGAMOSO;Nocturna;Presencial;ADMINISTRACION DE EMPRESAS;2;M;15-BOYACA;15491-NOBSA
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;3;F;54-NORTE SANTANDER;54001-CUCUTA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN ARTES PLASTICAS;2;F;68-SANTANDER;15001-TUNJA
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACIï¿½ï¿½N EN SALUD OCUPACIONAL Y PREVENCIï¿½ï¿½N DE RIESGOS L;;M;15-BOYACA;2-SIN DATOS
DERECHO Y CIENCIAS  SOCIALES;Diurna;Presencial;DERECHO;2;M;85-CASANARE;85125-HATO COROZAL
CIENCIAS DE LA EDUCACION;Otra;Otra;MAESTRï¿½ï¿½A EN PEDAGOGï¿½ï¿½A DE LA CULTURA;;M;25-CUNDINAMARCA;2-SIN DATOS
INGENIERIA;Diurna;Presencial;INGENIERIA AMBIENTAL;2;M;15-BOYACA;15693-SANTA ROSA DE VITERBO
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;2;M;15-BOYACA;15001-TUNJA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;ECONOMIA;1;M;85-CASANARE;2-SIN DATOS
CIENCIAS;Diurna;Presencial;BIOLOGIA;2;M;25-CUNDINAMARCA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN EDUCACION PREESCOLAR;2;M;15-BOYACA;15516-PAIPA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION  EN PLANEACION Y GESTION DEL DESARROLLO TERRITORIAL;;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Otra;MAESTRIA EN EDUCACION;;M;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;15-BOYACA;15238-DUITAMA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION EN ALTA GERENCIA EN MERCADOTECNIA;;M;15-BOYACA;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION EN FINANZAS;;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;68-SANTANDER;68298-GAMBITA
CIENCIAS DE LA SALUD;Diurna;Presencial;PSICOLOGIA;2;F;15-BOYACA;15001-TUNJA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN REGENCIA DE FARMACIA;2;F;15-BOYACA;15001-TUNJA
CIENCIAS AGROPECUARIAS;Diurna;Presencial;INGENIERIA AGRONOMICA;2;M;15-BOYACA;15516-PAIPA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNICO PROFESIONAL EN INSTALACION Y MANTENIMIENTO DE REDES Y COMPUTADORES;2;M;25-CUNDINAMARCA;73449-MELGAR
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;CONTADURIA PUBLICA;1;F;15-BOYACA;15001-TUNJA
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACION EN GERENCIA TALENTO HUMANO;;M;15-BOYACA;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;CONTADURIA PUBLICA;1;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;F;15-BOYACA;15176-CHIQUINQUIRA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNICO PROFESIONAL EN INSTALACION Y MANTENIMIENTO DE REDES Y COMPUTADORES;2;M;5-ANTIOQUIA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN CIENCIAS SOCIALES;1;M;15-BOYACA;15299-GARAGOA
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACIï¿½ï¿½N EN SALUD OCUPACIONAL Y PREVENCIï¿½ï¿½N DE RIESGOS L;;M;25-CUNDINAMARCA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN MATEMATICAS;3;F;15-BOYACA;85001-YOPAL
SECCIONAL CHIQUINQUIRA;Nocturna;Presencial;CONTADURIA PUBLICA;2;F;68-SANTANDER;15176-CHIQUINQUIRA
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION COMERCIAL Y FINANCIERA;2;F;85-CASANARE;85410-TAURAMENA
CIENCIAS AGROPECUARIAS;Diurna;Presencial;MEDICINA VETERINARIA Y ZOOTECNIA;1;M;25-CUNDINAMARCA;15001-TUNJA
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;F;15-BOYACA;15238-DUITAMA
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION DE SERVICIOS DE SALUD;2;F;15-BOYACA;15238-DUITAMA
SECCIONAL DUITAMA;Otra;Otra;ESPECIALIZACION EN  PLANIFICACION DEL  TURISMO SOSTENIBLE;;F;15-BOYACA;2-SIN DATOS
SECCIONAL DUITAMA;Diurna;Presencial;LICENCIATURA EN TECNOLOGIA;2;M;15-BOYACA;15087-BELEN
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN EDUCACION FISICA RECREACION Y DEPORTES;3;M;15-BOYACA;15001-TUNJA
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACIï¿½ï¿½N EN SALUD OCUPACIONAL Y PREVENCIï¿½ï¿½N DE RIESGOS L;;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;F;68-SANTANDER;68432-MALAGA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION EN FINANZAS;;F;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;2;F;15-BOYACA;15407-VILLA DE LEYVA
CIENCIAS AGROPECUARIAS;Diurna;Presencial;MEDICINA VETERINARIA Y ZOOTECNIA;2;M;15-BOYACA;15001-TUNJA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN LENGUAS EXTRANJERAS;2;F;15-BOYACA;15759-SOGAMOSO
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACION EN GESTION AMBIENTAL;;M;68-SANTANDER;2-SIN DATOS
INGENIERIA;Diurna;Presencial;INGENIERIA METALURGICA;2;M;15-BOYACA;15516-PAIPA
SECCIONAL CHIQUINQUIRA;Nocturna;Presencial;ADMINISTRACION DE EMPRESAS;3;M;15-BOYACA;15176-CHIQUINQUIRA
SECCIONAL DUITAMA;Diurna;Presencial;ADMINISTRACION TURISTICA Y HOTELERA;2;F;15-BOYACA;15226-CUITIVA
CIENCIAS DE LA EDUCACION;Nocturna;Presencial;LICENCIATURA EN INFORMATICA Y TECNOLOGIA;2;M;15-BOYACA;15837-TUTA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN CIENCIAS SOCIALES;2;M;15-BOYACA;15001-TUNJA
SECCIONAL DUITAMA;Diurna;Presencial;ADMINISTRACION INDUSTRIAL;2;M;15-BOYACA;15238-DUITAMA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNICO PROFESIONAL EN INSTALACION Y MANTENIMIENTO DE REDES Y COMPUTADORES;2;M;15-BOYACA;15599-RAMIRIQUI
CIENCIAS DE LA EDUCACION;Otra;Otra;ESPECIALIZACION EN NECESIDADES  DE APRENDIZAJE EN LECTURA- ESCRITURA Y MATEMATICAS;;F;15-BOYACA;2-SIN DATOS
INGENIERIA;Otra;Otra;ESPECIALIZACION EN INFRAESTRUCTURA VIAL;;M;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD;2;F;15-BOYACA;15001-TUNJA
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA ELECTRONICA;2;M;15-BOYACA;15238-DUITAMA
SECCIONAL DUITAMA;Diurna;Presencial;ADMINISTRACION DE EMPRESAS AGROPECUARIAS;2;F;15-BOYACA;15238-DUITAMA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LIC. EN PSICOPEDAGOGIA ENFASIS ASESORIA EDUCATIVA;1;F;15-BOYACA;15001-TUNJA
CIENCIAS DE LA EDUCACION;Otra;Otra;ESPECIALIZACION EN GERENCIA EDUCACIONAL;;F;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;F;25-CUNDINAMARCA;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;CONTADURIA PUBLICA;2;M;25-CUNDINAMARCA;15238-DUITAMA
INGENIERIA;Diurna;Presencial;INGENIERIA CIVIL;2;F;15-BOYACA;15238-DUITAMA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Diurna;Presencial;ADMINISTRACION DE EMPRESAS;3;F;15-BOYACA;15001-TUNJA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;2;M;25-CUNDINAMARCA;25299-GAMA
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LIC. EN PSICOPEDAGOGIA ENFASIS ASESORIA EDUCATIVA;1;F;85-CASANARE;85001-YOPAL
INGENIERIA;Otra;Otra;MAESTRIA EN TECNOLOGIA INFORMATICA;;M;15-BOYACA;2-SIN DATOS
SECCIONAL DUITAMA;Diurna;Presencial;LICENCIATURA EN TECNOLOGIA;1;F;15-BOYACA;15238-DUITAMA
INGENIERIA;Diurna;Presencial;INGENIERIA METALURGICA;2;M;15-BOYACA;15238-DUITAMA
CIENCIAS;Diurna;Presencial;FISICA;1;F;15-BOYACA;15646-SAMACA
CIENCIAS AGROPECUARIAS;Otra;Otra;MAESTRIA EN FISIOLOGIA VEGETAL;;M;15-BOYACA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Otra;DOCTORADO EN GEOGRAFIA;;F;25-CUNDINAMARCA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN EDUCACION FISICA RECREACION Y DEPORTES;2;M;15-BOYACA;2-SIN DATOS
INGENIERIA;Diurna;Presencial;INGENIERIA DE SISTEMAS Y COMPUTACION;2;M;15-BOYACA;15693-SANTA ROSA DE VITERBO
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA EN EDUCACION PREESCOLAR;1;F;15-BOYACA;15600-RAQUIRA
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION EN FINANZAS;;F;15-BOYACA;2-SIN DATOS
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACION EN INGENIERIA DE PRODUCCION Y OPERACIONES;;M;25-CUNDINAMARCA;2-SIN DATOS
SECCIONAL DUITAMA;Diurna;Presencial;LICENCIATURA EN TECNOLOGIA;2;F;15-BOYACA;15162-CERINZA
ESTUDIOS A DISTANCIA;Otra;virtual;ADMINISTRACION COMERCIAL Y FINANCIERA;2;M;15-BOYACA;15759-SOGAMOSO
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;F;15-BOYACA;15740-SIACHOQUE
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LICENCIATURA  EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL;2;F;52-NARIï¿½;15759-SOGAMOSO
INGENIERIA;Diurna;Otra;ESPECIALIZACION EN BASES DE DATOS;;M;8-ATLANTICO;2-SIN DATOS
INGENIERIA;Otra;Otra;ESPECIALIZACION EN ENSAYOS NO DESTRUCTIVOS;;M;15-BOYACA;2-SIN DATOS
DERECHO Y CIENCIAS  SOCIALES;Otra;Otra;MAESTRIA EN DERECHOS HUMANOS;;M;54-NORTE SANTANDER;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD;2;F;15-BOYACA;15001-TUNJA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN OBRAS CIVILES;1;F;25-CUNDINAMARCA;15407-VILLA DE LEYVA
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD;2;F;15-BOYACA;15299-GARAGOA
SECCIONAL DUITAMA;Diurna;Presencial;INGENIERIA ELECTROMECANICA;2;M;15-BOYACA;15238-DUITAMA
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;15-BOYACA;15001-TUNJA
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA INDUSTRIAL;1;M;54-NORTE SANTANDER;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;M;25-CUNDINAMARCA;25594-QUETAME
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;2;F;68-SANTANDER;68572-PUENTE NACIONAL
CIENCIAS DE LA EDUCACION;Diurna;Presencial;LIC. EN PSICOPEDAGOGIA ENFASIS ASESORIA EDUCATIVA;3;F;15-BOYACA;15759-SOGAMOSO
CIENCIAS DE LA EDUCACION;Nocturna;Presencial;LICENCIATURA EN INFORMATICA Y TECNOLOGIA;2;M;15-BOYACA;15516-PAIPA
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;1;F;81-ARAUCA;2-SIN DATOS
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;F;15-BOYACA;15238-DUITAMA
SECCIONAL SOGAMOSO;Diurna;Presencial;INGENIERIA ELECTRONICA;1;M;15-BOYACA;15759-SOGAMOSO
CIENCIAS DE LA EDUCACION;Otra;Distancia;LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS- HUMANIDADES Y LENGUA CASTELLANA;1;F;15-BOYACA;15759-SOGAMOSO
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;ECONOMIA;2;F;15-BOYACA;15238-DUITAMA
ESTUDIOS A DISTANCIA;Otra;Otra;ESPECIALIZACION EN DIDACTICA DE LA MATEMATICA PARA LA EDUCACION BASICA;;M;18-CAQUETA;2-SIN DATOS
INGENIERIA;Diurna;Presencial;INGENIERIA DE SISTEMAS Y COMPUTACION;2;M;54-NORTE SANTANDER;54001-CUCUTA
ESTUDIOS A DISTANCIA;Otra;Otra;ESPECIALIZACION EN DIDACTICA DE LA MATEMATICA PARA LA EDUCACION BASICA;;F;85-CASANARE;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;virtual;TECNICA PROFESIONAL  EN PROCESOS COMERCIALES Y FINANCIEROS;3;F;85-CASANARE;85300-SABANALARGA
CIENCIAS;Diurna;Presencial;QUIMICA;2;M;25-CUNDINAMARCA;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Nocturna;Presencial;CONTADURIA PUBLICA;2;F;15-BOYACA;15001-TUNJA
DERECHO Y CIENCIAS  SOCIALES;Otra;Otra;MAESTRIA EN DERECHOS HUMANOS;;F;85-CASANARE;2-SIN DATOS
CIENCIAS ECONOMICAS Y ADMINISTRATIVAS;Otra;Otra;ESPECIALIZACION EN FINANZAS;;M;15-BOYACA;2-SIN DATOS
SECCIONAL SOGAMOSO;Otra;Otra;ESPECIALIZACION EN GESTION AMBIENTAL;;F;15-BOYACA;2-SIN DATOS
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN ELECTRICIDAD;2;M;15-BOYACA;15238-DUITAMA
ESTUDIOS A DISTANCIA;Otra;Distancia;TECNOLOGIA EN REGENCIA DE FARMACIA;2;F;15-BOYACA;25430-MADRID
SECCIONAL CHIQUINQUIRA;Nocturna;Presencial;CONTADURIA PUBLICA;2;F;15-BOYACA;68001-BUCARAMANGA
CIENCIAS AGROPECUARIAS;Diurna;Presencial;INGENIERIA AGRONOMICA;2;M;15-BOYACA;15693-SANTA ROSA DE VITERBO
